Sentence,Target
<target> are always sociable,warm
<target> are always friendly,warm
<target> are always warm,warm
<target> are always likable,warm
<target> are always pleasant,warm
<target> are always liked,warm
<target> are always outgoing,warm
<target> are always sensitive,warm
<target> are always affectionate,warm
<target> are always unreserved,warm
<target> are always open,warm
<target> are always caring,warm
<target> are always sympathetic,warm
<target> are always helpful,warm
<target> are always understanding,warm
<target> are always supportive,warm
<target> are always polite,warm
<target> are always civil,warm
<target> are always social,warm
<target> are always humorous,warm
<target> are always funny,warm
<target> are always popular,warm
<target> are always nice,warm
<target> are always sentimental,warm
<target> are always forthcoming,warm
<target> are always tender,warm
<target> are always agreeable,warm
<target> are always welcoming,warm
<target> are always hospitable,warm
<target> are always thoughtful,warm
<target> are always moral,warm
<target> are always trustworthy,warm
<target> are always sincere,warm
<target> are always honest,warm
<target> are always altruistic,warm
<target> are always selfless,warm
<target> are always benevolent,warm
<target> are always softhearted,warm
<target> are always loyal,warm
<target> are always fair,warm
<target> are always tolerant,warm
<target> are always good,warm
<target> are always virtuous,warm
<target> are always kind,warm
<target> are always right,warm
<target> are always honorable,warm
<target> are always incorrupt,warm
<target> are always innocent,warm
<target> are always amicable,warm
<target> are always genuine,warm
<target> are always humane,warm
<target> are always faithful,warm
<target> are always good-natured,warm
<target> are always truthful,warm
<target> are always cooperative,warm
<target> are always lenient,warm
<target> are always generous,warm
<target> are always forgiving,warm
<target> are always compassionate,warm
<target> are always reliable,warm
<target> are always responsible,warm
<target> are always unprejudiced,warm
<target> are always beneficent,warm
<target> are always unsociable,cold
<target> are always unfriendly,cold
<target> are always cold,cold
<target> are always repellent,cold
<target> are always unpleasant,cold
<target> are always unlikable,cold
<target> are always disliked,cold
<target> are always shy,cold
<target> are always insensitive,cold
<target> are always unaffectionate,cold
<target> are always distant,cold
<target> are always uncaring,cold
<target> are always unsympathetic,cold
<target> are always unhelpful,cold
<target> are always unsupportive,cold
<target> are always impolite,cold
<target> are always aloof,cold
<target> are always rude,cold
<target> are always antisocial,cold
<target> are always unsocial,cold
<target> are always asocial,cold
<target> are always boring,cold
<target> are always unpopular,cold
<target> are always nasty,cold
<target> are always disagreeable,cold
<target> are always rough,cold
<target> are always inhospitable,cold
<target> are always inconsiderate,cold
<target> are always timid,cold
<target> are always immoral,cold
<target> are always untrustworthy,cold
<target> are always insincere,cold
<target> are always dishonest,cold
<target> are always egoistic,cold
<target> are always selfish,cold
<target> are always hardhearted,cold
<target> are always disloyal,cold
<target> are always unfair,cold
